seq,domain_id,domain,subdomain_id,subdomain,rows,xlsx_first,xlsx_last,flags
1,1,Ticketing Catalogue,1.1,Ticket Types,122,2,123,
2,1,Ticketing Catalogue,1.2,Resource Management,84,124,207,
3,1,Ticketing Catalogue,1.3,Event Management,52,208,259,
4,1,Ticketing Catalogue,1.4,Product Lifecycle,30,260,289,
5,1,Ticketing Catalogue,1.5,Sales Channels,5,290,294,
6,1,Ticketing Catalogue,1.6,Ticket Resale Marketplace,19,295,313,
7,2,Ticketing Sales,2.1,Sales Channels,33,314,346,
8,2,Ticketing Sales,2.2,Ticketing POS and Kiosks,2,347,348,THIN
9,2,Ticketing Sales,2.3,Flying POS,1,349,349,THIN
10,2,Ticketing Sales,2.4,B2B Sales,1,350,350,THIN
11,2,Ticketing Sales,2.5,B2B Sales,3,351,353,THIN
12,2,Ticketing Sales,2.6,Call Center Sales,67,354,420,
13,2,Ticketing Sales,2.7,Pricing,55,421,475,
14,2,Ticketing Sales,2.8,Pricing,12,476,487,
15,2,Ticketing Sales,2.9,Ticket Upgrades,19,488,506,
16,2,Ticketing Sales,2.10,Digital Waiver Management,5,507,511,
17,2,Ticketing Sales,2.11,Ticket Upgrades,11,512,522,
18,2,Ticketing Sales,2.12,Order Management,36,523,558,
19,2,Ticketing Sales,2.13,Front Gate Sales,45,559,603,
20,2,Ticketing Sales,2.14,Membership,23,604,626,
21,2,Ticketing Sales,2.15,Digital Waiver Management,13,627,639,
22,2,Ticketing Sales,2.16,Ticket Media,17,640,656,
23,3,Admission and Access,3.1,Ticket Media,10,657,666,
24,3,Admission and Access,3.2,Access Control System,77,667,743,
25,3,Admission and Access,3.3,Access Control System,48,744,791,
26,3,Admission and Access,3.4,Parking Integration,2,792,793,THIN
27,3,Admission and Access,3.5,Bundles,13,794,806,
28,3,Admission and Access,3.6,Promotions,39,807,845,
29,3,Admission and Access,3.7,Upsell and cross-sell,12,846,857,
30,4,Bundles and Promotions,4.1,Bundles,25,858,882,
31,4,Bundles and Promotions,4.2,Promotions,25,883,907,
32,4,Bundles and Promotions,4.3,Wallet,38,908,945,
33,4,Bundles and Promotions,4.4,Upsell and cross-sell,29,946,974,
34,4,Bundles and Promotions,4.5,F&B and Retail Offers and Promotions,33,975,1007,
35,4,Bundles and Promotions,4.6,F&B POS - Core Ordering,37,1008,1044,
36,4,Bundles and Promotions,4.7,F&B POS - Modifiers,6,1045,1050,
37,4,Bundles and Promotions,4.8,F&B POS - Menu Management,19,1051,1069,
38,4,Bundles and Promotions,4.9,Table Reservation,17,1070,1086,
39,5,F&B & Guest Management,5.1,Payment Methods,12,1087,1098,
40,5,F&B & Guest Management,5.2,Wallet,4,1099,1102,
41,5,F&B & Guest Management,5.3,Profile Management,35,1103,1137,
42,5,F&B & Guest Management,5.4,Loyalty,31,1138,1168,DUP_SUBDOMAIN_ID
43,5,F&B & Guest Management,5.4,Unified Platform,2,1169,1170,DUP_SUBDOMAIN_ID;THIN
44,5,Payment,5.4,Unified Platform,1,1171,1171,DUP_SUBDOMAIN_ID;THIN;ORPHAN_ROW
45,5,F&B & Guest Management,5.5,Portfolio Management,4,1172,1175,DUP_SUBDOMAIN_ID;DUP_REQ_ID
46,5,F&B & Guest Management,5.5,Portfolio & Entitlement Management,30,1176,1205,DUP_SUBDOMAIN_ID;DUP_REQ_ID
47,5,F&B & Guest Management,5.6,Virtual Queue,46,1206,1251,DUP_REQ_ID
48,5,F&B & Guest Management,5.7,Accounting,99,1252,1350,
49,5,F&B & Guest Management,5.8,Cash Handling,9,1351,1359,
50,5,F&B & Guest Management,5.9,Shift opening and closing,10,1360,1369,
51,5,F&B & Guest Management,5.10,Receipt,3,1370,1372,THIN
52,5,F&B & Guest Management,5.11,Double-Entry Financial Ledger,6,1373,1378,
53,5,F&B & Guest Management,5.12,Revenue Recognition,120,1379,1498,
54,6,Retail POS,6.1,Wallet,78,1499,1576,
55,7,F&B POS,7.1,Retail POS,62,1577,1638,
56,7,F&B POS,7.2,F&B POS - Modifiers,2,1639,1640,THIN
57,7,F&B POS,7.3,F&B POS - Menu Management,10,1641,1650,
58,7,F&B POS,7.4,Table Reservation,52,1651,1702,
59,7,F&B POS,7.5,Kitchen Display,10,1703,1712,
60,7,F&B POS,7.6,Inventory Management Integration,15,1713,1727,
61,8,Unified Operations Dashboard,8.1,AI Configuration Assistant,6,1728,1733,DUP_SUBDOMAIN_ID;DUP_REQ_ID
62,8,Unified Operations Dashboard,8.1,AI Governance & Explainability,7,1734,1740,DUP_SUBDOMAIN_ID;DUP_REQ_ID
63,8,Unified Operations Dashboard,8.2,Demand Forecasting,58,1741,1798,
64,8,Unified Operations Dashboard,8.3,Fraud Detection,54,1799,1852,DUP_SUBDOMAIN_ID
65,8,Unified Operations Dashboard,8.3,AI Governance,29,1853,1881,DUP_SUBDOMAIN_ID
66,8,Unified Operations Dashboard,8.4,AI Engine,38,1882,1919,
67,8,Unified Operations Dashboard,8.5,Dynamic Pricing,46,1920,1965,
68,8,Unified Operations Dashboard,8.6,Recommendation Engine,36,1966,2001,
69,8,Unified Operations Dashboard,8.7,BI & Reporting,34,2002,2035,
70,8,Unified Operations Dashboard,8.8,AI Configuration Assistant,14,2036,2049,
71,8,Unified Operations Dashboard,8.9,Operations Command Center,10,2050,2059,
72,10,Games & F&B Integration,10.1,Kitchen Display & Inventory Sync,5,2060,2064,
73,10,Games & F&B Integration,10.2,Game & Ride Payment & Redemption,20,2065,2084,
74,11,Approval Workflows & Governance,11.1,Accounting,80,2085,2164,
75,12,Accreditation & Credential Management,12.1,Reporting  and Dashboards,58,2165,2222,
76,13,Developer & API Management,13.1,Reporting  and Dashboards,50,2223,2272,
77,13,Developer & API Management,13.2,Sandbox,20,2273,2292,
78,13,Developer & API Management,13.3,API Business Coverage,24,2293,2316,
79,15,Inventory Management,15.1,Inventory Management,38,2317,2354,
80,15,Inventory Management,15.2,Warehouse Management,22,2355,2376,
81,15,Inventory Management,15.3,Procurement,18,2377,2394,
82,15,Inventory Management,15.4,Inventory Planning,9,2395,2403,
83,15,Inventory Management,15.5,Enterprise Features,11,2404,2414,
84,16,Device Management,16.1,Device Registration,6,2415,2420,
85,16,Device Management,16.2,Device Inventory,6,2421,2426,
86,16,Device Management,16.3,Device Configuration,5,2427,2431,
87,16,Device Management,16.4,Device Monitoring,6,2432,2437,
88,16,Device Management,16.5,Device Maintenance,6,2438,2443,
89,16,Device Management,16.6,Firmware & Software Management,5,2444,2448,
90,16,Device Management,16.7,Security,6,2449,2454,
91,16,Device Management,16.8,Device Integrations,10,2455,2464,
92,16,Device Management,16.9,Enterprise Features,10,2465,2474,
93,17,Maintenance & Safety Management,17.1,Asset Management,8,2475,2482,
94,17,Maintenance & Safety Management,17.2,Preventive Maintenance Planning,7,2483,2489,
95,17,Maintenance & Safety Management,17.3,Corrective Maintenance & Incident,7,2490,2496,
96,17,Maintenance & Safety Management,17.4,Work Order Management,8,2497,2504,
97,17,Maintenance & Safety Management,17.5,Safety & Compliance,10,2505,2514,
98,17,Maintenance & Safety Management,17.6,Spare Parts & Procurement,5,2515,2519,
99,17,Maintenance & Safety Management,17.7,Maintenance Reporting & Analytics,5,2520,2524,
100,18,Employee Mobile App & AI Assistant,18.1,Mobile App Core (iOS & Android),5,2525,2529,
101,18,Employee Mobile App & AI Assistant,18.2,Work Order Management,7,2530,2536,
