domain_id,domain,sub_id,sub,rows,first,last,labelled_contract,signal_1,signal_2,signal_3,mismatch
1,Ticketing Catalogue,1.1,Ticket Types,122,2,123,catalogue,catalogue:0.5,orders:0.1,access:0.1,
1,Ticketing Catalogue,1.2,Resource Management,84,124,207,catalogue,catalogue:0.8,ai:0.1,identity:0.1,
1,Ticketing Catalogue,1.3,Event Management,52,208,259,catalogue,seating:0.4,catalogue:0.3,orders:0.2,
1,Ticketing Catalogue,1.4,Product Lifecycle,30,260,289,catalogue,seating:1.2,catalogue:0.9,ai:0.2,
1,Ticketing Catalogue,1.5,Sales Channels,5,290,294,catalogue,catalogue:1.0,access:0.4,identity:0.4,
1,Ticketing Catalogue,1.6,Ticket Resale Marketplace,19,295,313,catalogue,approvals:0.4,catalogue:0.2,inventory:0.2,
2,Ticketing Sales,2.1,Sales Channels,33,314,346,orders,orders:0.6,promotions:0.5,catalogue:0.3,
2,Ticketing Sales,2.2,Ticketing POS and Kiosks,2,347,348,orders,marketing-crm:1.0,access:0.5,finance:0.5,YES
2,Ticketing Sales,2.3,Flying POS,1,349,349,orders,catalogue:1.0,finance:1.0,orders:0.0,YES
2,Ticketing Sales,2.4,B2B Sales,1,350,350,orders,white-label:1.0,catalogue:0.0,orders:0.0,YES
2,Ticketing Sales,2.5,B2B Sales,3,351,353,orders,promotions:1.3,catalogue:0.7,ai:0.3,YES
2,Ticketing Sales,2.6,Call Center Sales,67,354,420,orders,orders:0.5,marketing-crm:0.5,catalogue:0.2,
2,Ticketing Sales,2.7,Pricing,55,421,475,orders,orders:1.4,catalogue:0.3,promotions:0.2,
2,Ticketing Sales,2.8,Pricing,12,476,487,orders,orders:1.5,promotions:0.8,finance:0.4,
2,Ticketing Sales,2.9,Ticket Upgrades,19,488,506,orders,catalogue:1.0,finance:0.7,orders:0.4,YES
2,Ticketing Sales,2.10,Digital Waiver Management,5,507,511,orders,orders:1.0,finance:0.8,promotions:0.6,
2,Ticketing Sales,2.11,Ticket Upgrades,11,512,522,orders,orders:1.5,promotions:0.2,finance:0.1,
2,Ticketing Sales,2.12,Order Management,36,523,558,orders,orders:1.9,catalogue:0.4,access:0.4,
2,Ticketing Sales,2.13,Front Gate Sales,45,559,603,orders,orders:0.2,promotions:0.1,access:0.1,
2,Ticketing Sales,2.14,Membership,23,604,626,orders,orders:0.7,catalogue:0.5,promotions:0.4,
2,Ticketing Sales,2.15,Digital Waiver Management,13,627,639,orders,orders:1.2,catalogue:0.3,marketing-crm:0.2,
2,Ticketing Sales,2.16,Ticket Media,17,640,656,orders,catalogue:0.4,orders:0.2,promotions:0.2,
3,Admission and Access,3.1,Ticket Media,10,657,666,access,access:1.5,finance:1.2,identity:0.5,
3,Admission and Access,3.2,Access Control System,77,667,743,access,access:1.8,marketing-crm:0.2,identity:0.1,
3,Admission and Access,3.3,Access Control System,48,744,791,access,identity:0.2,reporting:0.2,catalogue:0.1,
3,Admission and Access,3.4,Parking Integration,2,792,793,access,access:0.5,catalogue:0.0,orders:0.0,
3,Admission and Access,3.5,Bundles,13,794,806,access,promotions:0.9,orders:0.4,catalogue:0.3,YES
3,Admission and Access,3.6,Promotions,39,807,845,access,promotions:1.8,orders:0.5,catalogue:0.3,YES
3,Admission and Access,3.7,Upsell and cross-sell,12,846,857,access,catalogue:0.7,orders:0.7,promotions:0.7,YES
4,Bundles and Promotions,4.1,Bundles,25,858,882,promotions,promotions:1.2,catalogue:0.9,marketing-crm:0.2,
4,Bundles and Promotions,4.2,Promotions,25,883,907,promotions,orders:0.5,promotions:0.4,finance:0.4,
4,Bundles and Promotions,4.3,Wallet,38,908,945,promotions,finance:0.3,promotions:0.2,orders:0.2,
4,Bundles and Promotions,4.4,Upsell and cross-sell,29,946,974,promotions,inventory:0.6,catalogue:0.4,orders:0.3,YES
4,Bundles and Promotions,4.5,F&B and Retail Offers and Promotions,33,975,1007,promotions,inventory:0.8,orders:0.2,catalogue:0.1,YES
4,Bundles and Promotions,4.6,F&B POS - Core Ordering,37,1008,1044,promotions,orders:0.7,fnb:0.6,inventory:0.2,YES
4,Bundles and Promotions,4.7,F&B POS - Modifiers,6,1045,1050,promotions,fnb:0.8,orders:0.5,catalogue:0.3,YES
4,Bundles and Promotions,4.8,F&B POS - Menu Management,19,1051,1069,promotions,fnb:1.2,catalogue:0.4,orders:0.3,YES
4,Bundles and Promotions,4.9,Table Reservation,17,1070,1086,promotions,fnb:0.7,orders:0.5,finance:0.3,YES
5,F&B & Guest Management,5.1,Payment Methods,12,1087,1098,finance,fnb:0.8,orders:0.8,finance:0.3,YES
5,F&B & Guest Management,5.2,Wallet,4,1099,1102,finance,fnb:1.2,orders:0.8,catalogue:0.0,YES
5,F&B & Guest Management,5.3,Profile Management,35,1103,1137,finance,orders:0.5,marketing-crm:0.4,access:0.2,
5,F&B & Guest Management,5.4,Loyalty,31,1138,1168,finance,marketing-crm:3.7,promotions:0.6,games:0.4,YES
5,F&B & Guest Management,5.4,Unified Platform,2,1169,1170,finance,promotions:2.0,marketing-crm:2.0,ai:1.5,YES
5,Payment,5.4,Unified Platform,1,1171,1171,finance,catalogue:0.0,orders:0.0,access:0.0,
5,F&B & Guest Management,5.5,Portfolio Management,4,1172,1175,finance,orders:0.2,catalogue:0.0,access:0.0,
