seq,wave,matrix_domain_id,domain,sub_id,subdomain,rows,xlsx_first,xlsx_last,contracts,flags
111,0,19,Guest Mobile App & Branding,19.2,Authentication & Login,83,2599,2681,white-label|identity,
110,0,19,Guest Mobile App & Branding,19.1,Branding & White-Label Configuration,24,2575,2598,white-label|identity,
1,1,1,Ticketing Catalogue,1.1,Ticket Types,122,2,123,catalogue,
53,1,5,F&B & Guest Management,5.12,Revenue Recognition,120,1379,1498,finance|queue|fnb,
48,1,5,F&B & Guest Management,5.7,Accounting,99,1252,1350,finance|queue|fnb,
2,1,1,Ticketing Catalogue,1.2,Resource Management,84,124,207,catalogue,
24,1,3,Admission and Access,3.2,Access Control System,77,667,743,access,
12,1,2,Ticketing Sales,2.6,Call Center Sales,67,354,420,orders|shift,
13,1,2,Ticketing Sales,2.7,Pricing,55,421,475,orders|shift,
3,1,1,Ticketing Catalogue,1.3,Event Management,52,208,259,catalogue,
25,1,3,Admission and Access,3.3,Access Control System,48,744,791,access,
47,1,5,F&B & Guest Management,5.6,Virtual Queue,46,1206,1251,finance|queue|fnb,REF_COLLISION
19,1,2,Ticketing Sales,2.13,Front Gate Sales,45,559,603,orders|shift,
28,1,3,Admission and Access,3.6,Promotions,39,807,845,access,
18,1,2,Ticketing Sales,2.12,Order Management,36,523,558,orders|shift,
41,1,5,F&B & Guest Management,5.3,Profile Management,35,1103,1137,finance|queue|fnb,
7,1,2,Ticketing Sales,2.1,Sales Channels,33,314,346,orders|shift,
42,1,5,F&B & Guest Management,5.4,Loyalty,31,1138,1168,finance|queue|fnb,DUP_SUBDOMAIN_ID
4,1,1,Ticketing Catalogue,1.4,Product Lifecycle,30,260,289,catalogue,
46,1,5,F&B & Guest Management,5.5,Portfolio & Entitlement Management,30,1176,1205,finance|queue|fnb,DUP_SUBDOMAIN_ID;REF_COLLISION
20,1,2,Ticketing Sales,2.14,Membership,23,604,626,orders|shift,
6,1,1,Ticketing Catalogue,1.6,Ticket Resale Marketplace,19,295,313,catalogue,
15,1,2,Ticketing Sales,2.9,Ticket Upgrades,19,488,506,orders|shift,
22,1,2,Ticketing Sales,2.16,Ticket Media,17,640,656,orders|shift,
21,1,2,Ticketing Sales,2.15,Digital Waiver Management,13,627,639,orders|shift,
27,1,3,Admission and Access,3.5,Bundles,13,794,806,access,
14,1,2,Ticketing Sales,2.8,Pricing,12,476,487,orders|shift,
29,1,3,Admission and Access,3.7,Upsell and cross-sell,12,846,857,access,
39,1,5,F&B & Guest Management,5.1,Payment Methods,12,1087,1098,finance|queue|fnb,
17,1,2,Ticketing Sales,2.11,Ticket Upgrades,11,512,522,orders|shift,
23,1,3,Admission and Access,3.1,Ticket Media,10,657,666,access,
