ref,A_row,A_subdomain,A_text,B_row,B_subdomain,B_text,proposed_new_ref_for_B,decision
5.5.1,1172,Portfolio Management,The system should support a ticketing data model which allows a guest to purchase and manage multiple tickets (portfolio of tickets) under their account.,1176,Portfolio & Entitlement Management,"Support purchase, ownership, management, and consumption of multiple tickets, passes, memberships, and entitlements under a single portfolio.",,
5.5.2,1173,Portfolio Management,The system should allow multiple portfolios to be linked only to one account.,1177,Portfolio & Entitlement Management,"Support multiple portfolios linked to a single account representing individuals, dependents, employees, students, or group participants.",,
5.5.3,1174,Portfolio Management,"The system should provide the ability to move stored credit between portfolios linked to different accounts. For Example: each family member have their own portfolio with the possibility to transfer part of the stored credit between the portfolios enabled in the system. At the end, each expenditure should be tracked independently by portfolio (family member).",1178,Portfolio & Entitlement Management,"Allow configurable transfer of stored value, wallet balances, promotional credits, and vouchers between linked portfolios with full audit tracking.",,
5.5.4,1175,Portfolio Management,"The system should be able to print media which are linked to guest's portfolios, this way multiple media can be availed/printed to the same guest portfolio. (examples: lost/soiled ticket reprints, website order's printing  QR code prints)",1179,Portfolio & Entitlement Management,"Support issuance and management of QR codes, RFID wristbands, RFID cards, NFC passes, digital tickets, and printed tickets linked to portfolios.",,
5.6.1,1206,Virtual Queue,"Multiple Queue Types: First-come-first-serve, priority/VIP, group queues.",1214,Virtual Queue,"Support First-Come-First-Served, Virtual Queue, Fast Pass, VIP Queue, Express Queue, Group Queue, Membership Queue, Accessibility Queue, and Staff Queue.",,
5.6.2,1207,Virtual Queue,"Real-time Queue Dashboard: Staff view of queue lengths, wait times, and customer flow.",1215,Virtual Queue,"Allow administrators to create and configure unlimited virtual queues with capacities, operating hours, eligibility rules, and queue logic.",,
5.6.3,1208,Virtual Queue,Manual Overrides: Staff can move guests up/down or reassign them.,1216,Virtual Queue,"Display queue lengths, wait times, throughput, capacity utilization, occupancy, and customer flow metrics.",,
5.6.4,1209,Virtual Queue,VIP / Priority Handling: Separate or fast-track queues for premium guests.,1217,Virtual Queue,"Automatically assign guests to queues based on ticket type, attraction, capacity availability, reservation rules, guest profile, or business policies.",,
5.6.5,1210,Virtual Queue,Load Balancing: Redirect customers to less busy queues/rides/entry points.,1218,Virtual Queue,"Configure queue capacities by hour, day, attraction, session, ticket type, membership level, or sales channel.",,
5.6.6,1211,Virtual Queue,"SMS, email, or whats app , app push notifications when it’s nearly their turn.",1219,Virtual Queue,"Allow authorized users to add, remove, move, prioritize, or reassign guests within queues.",,
5.6.7,1212,Virtual Queue,Real-time updates on remaining wait time.,1220,Virtual Queue,"Support priority queueing for VIP guests, annual pass holders, premium packages, loyalty tiers, and accessibility requirements.",,
5.6.8,1213,Virtual Queue,Accessibility Features: Special accommodations for disabled or elderly guests based on the profile of the customer,1221,Virtual Queue,Automatically recommend or redirect guests to alternative attractions or queues.,,
8.1.1,1728,AI Configuration Assistant,"For no-shows, the revenue attached to this ticket is moved from differed to earned revenue",1734,AI Governance & Explainability,"Provides control, transparency and accountability over AI-generated outputs.",,
8.1.2,1729,AI Configuration Assistant,It is expected to have reports built in the system showing the no shows.,1735,AI Governance & Explainability,"Prompt Logging
System shall store prompts submitted to AI services.",,
8.1.3,1730,AI Configuration Assistant,"It is possible to manage Invitations or complimentary Ticketing PLUs for which, no payment is expected.",1736,AI Governance & Explainability,"Response Logging
System shall store AI-generated responses.",,
8.1.4,1731,AI Configuration Assistant,It is possible to register who has offered the Invitation.,1737,AI Governance & Explainability,"Approval Before Execution
AI recommendations affecting pricing or financial operations shall require approval before execution",,
8.1.5,1732,AI Configuration Assistant,The issuance of Invitations is restricted depending on user’s profile.,1738,AI Governance & Explainability,"Explainability
System shall provide reasoning and confidence indicators where available.",,
8.1.6,1733,AI Configuration Assistant,AI-based Dynamic Pricing Promotion,1739,AI Governance & Explainability,"AI Audit Trail
System shall maintain a history of AI-generated actions and user decisions.",,
22.3.1,2901,Case Management & SLA,Case Creation,2911,Case Management & SLA,Visual Journey Builder,,
22.3.2,2902,Case Management & SLA,Case Classification,2912,Case Management & SLA,Event Trigger Engine,,
22.3.3,2903,Case Management & SLA,Case Assignment,2913,Case Management & SLA,Multi-Channel Automation,,
22.3.4,2904,Case Management & SLA,Case Workflow Management,2914,Case Management & SLA,Conditional Logic & Decision Trees,,
22.3.5,2905,Case Management & SLA,SLA Management,2915,Case Management & SLA,Wait & Scheduling Controls,,
22.3.6,2906,Case Management & SLA,Case Escalation Management,2916,Case Management & SLA,Abandoned Cart Recovery Automation,,
22.3.7,2907,Case Management & SLA,Agent Notes & Attachments,2917,Case Management & SLA,Membership Lifecycle Automation,,
22.3.8,2908,Case Management & SLA,Omnichannel Communication Tracking,2918,Case Management & SLA,Loyalty Lifecycle Automation,,
22.3.9,2909,Case Management & SLA,Case Reporting & Analytics,2919,Case Management & SLA,Wallet Automation,,
22.3.10,2910,Case Management & SLA,Case Audit Trail,2920,Case Management & SLA,Birthday & Anniversary Campaigns,,
